ID,date,timeperiod,purpose,origin_type,access_mode,access_walk_dist,dest_type,egress_mode,egress_walk_dist,fare_type_clean,orca_emp_clean,fare_cat_clean,oneway_route_clean,oneway_all_clean,firsttimetransit,ethnicity_1,ethnicity_2,ethnicity_3,ethnicity_4,ethnicity_5,ethnicity_6,ethnicity_7,ethnicity_8,ethnicity_99,ethnicity_98,language_1,language_2,language_3,language_4,language_5,language_6,language_7,language_8,language_9,language_99,hhsize_clean,income_clean
LE13723,"Monday, October 19, 2015",3,2,2,2,#NULL!,3,1,3.00,1,2,1,2,4,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10
LE17047,"Monday, October 26, 2015",2,1,1,1,2.00,2,1,#NULL!,3,2,1,15,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,4
LE11957,"Wednesday, October 14, 2015",2,2,2,1,#NULL!,3,1,#NULL!,3,#NULL!,#NULL!,#NULL!,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,7
LE15632,"Wednesday, October 21, 2015",2,2,4,1,1.00,2,2,#NULL!,3,2,#NULL!,22,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,#NULL!
LE15638,"Wednesday, October 21, 2015",2,1,2,1,1.00,1,1,0.00,3,1,1,12,14,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,10
LE16599,"Thursday, October 22, 2015",2,1,1,1,#NULL!,2,3,#NULL!,1,1,1,20,#NULL!,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,10
LE16856,"Thursday, October 22, 2015",2,2,4,2,#NULL!,2,2,#NULL!,3,2,1,32,16,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1
LE16972,"Monday, October 26, 2015",2,1,2,1,#NULL!,1,1,#NULL!,1,1,1,10,40,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,7
LE20533,"Thursday, October 15, 2015",2,2,2,1,1.00,3,1,#NULL!,1,1,1,3,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,9
LE20857,"Monday, October 19, 2015",3,3,99,1,#NULL!,1,1,#NULL!,3,2,1,4,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,10
LE20858,"Monday, October 19, 2015",3,2,2,1,1.50,3,1,#NULL!,1,#NULL!,1,10,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
LE21398,"Monday, October 19, 2015",3,1,2,1,#NULL!,1,1,#NULL!,1,#NULL!,1,24,45,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,5
LE21429,"Monday, October 19, 2015",3,1,2,1,4.00,1,1,25.00,3,2,1,20,25,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE21785,"Monday, October 19, 2015",2,1,2,1,2.00,1,1,1.00,1,1,1,5,50,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,9
LE23644,"Thursday, October 22, 2015",1,3,4,1,#NULL!,5,1,#NULL!,3,2,2,10,#NULL!,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1
LE23683,"Thursday, October 22, 2015",1,2,4,1,1.00,2,1,8.00,1,2,1,40,11,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3
LE24247,"Monday, October 26, 2015",2,2,4,1,0.50,2,3,#NULL!,1,1,#NULL!,24,#NULL!,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE26001,"Monday, November 2, 2015",3,2,2,1,1.00,99,1,3.00,3,2,1,5,9,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LM31200,"Monday, November 2, 2015",2,#NULL!,#NULL!,1,#NULL!,3,1,#NULL!,9,#NULL!,3,#NULL!,#NULL!,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,11
LE12740,"Thursday, October 15, 2015",2,1,2,4,#NULL!,1,1,#NULL!,1,#NULL!,1,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,11
LE25599,"Monday, November 2, 2015",3,1,1,1,5.00,2,1,#NULL!,1,#NULL!,1,20,30,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,8
LE10216,"Tuesday, October 13, 2015",1,1,2,1,1.00,1,3,#NULL!,1,1,1,30,#NULL!,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,9
LE11645,"Wednesday, October 14, 2015",3,1,2,1,3.00,1,1,1.00,1,1,1,22,75,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,2,6
LE13037,"Thursday, October 15, 2015",2,2,99,1,4.00,2,3,#NULL!,7,#NULL!,#NULL!,7,7,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4,7
